"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","2","0","","0"
"0","","0","Проверка логотипа 'Самоката'","1","0","Переход на главную страницу при клике на логотип","0"
"0","","0","Проверка логотипа 'Яндекса'","1","0","Переход на главную страницу Дзена в новой вкладке","0"
"0","","0","Проверка раздела 'Вопросы о важном'","1","0","Проверка вопросов и ответов","0"
